state_name,county_name,census_tract_name,census_tract_geoid
Illinois,Cook County,Census Tract 6809,17031680900
Illinois,Cook County,Census Tract 6810,17031681000
Illinois,Cook County,Census Tract 6811,17031681100
Illinois,Cook County,Census Tract 6812,17031681200
Illinois,Cook County,Census Tract 6813,17031681300
Illinois,Cook County,Census Tract 6814,17031681400
Illinois,Cook County,Census Tract 6903,17031690300
Illinois,Cook County,Census Tract 6904,17031690400
Illinois,Cook County,Census Tract 6905,17031690500
Illinois,Cook County,Census Tract 6909,17031690900
Illinois,Cook County,Census Tract 6910,17031691000
Illinois,Cook County,Census Tract 6911,17031691100
Illinois,Cook County,Census Tract 6912,17031691200
Illinois,Cook County,Census Tract 6913,17031691300
Illinois,Cook County,Census Tract 6914,17031691400
Illinois,Cook County,Census Tract 6915,17031691500
Illinois,Cook County,Census Tract 7001,17031700100
Illinois,Cook County,Census Tract 7004.01,17031700401
Illinois,Cook County,Census Tract 7004.02,17031700402
Illinois,Cook County,Census Tract 7005.02,17031700502
Illinois,Cook County,Census Tract 7101,17031710100
Illinois,Cook County,Census Tract 7102,17031710200
Illinois,Cook County,Census Tract 7103,17031710300
Illinois,Cook County,Census Tract 7104,17031710400
Illinois,Cook County,Census Tract 7105,17031710500
Illinois,Cook County,Census Tract 7106,17031710600
Illinois,Cook County,Census Tract 7107,17031710700
Illinois,Cook County,Census Tract 7108,17031710800
Illinois,Cook County,Census Tract 7109,17031710900
Illinois,Cook County,Census Tract 7110,17031711000
Illinois,Cook County,Census Tract 7111,17031711100
Illinois,Cook County,Census Tract 7112,17031711200
Illinois,Cook County,Census Tract 7113,17031711300
Illinois,Cook County,Census Tract 7114,17031711400
Illinois,Cook County,Census Tract 7115,17031711500
Illinois,Cook County,Census Tract 7301,17031730100
Illinois,Cook County,Census Tract 7302.01,17031730201
Illinois,Cook County,Census Tract 7302.02,17031730202
Illinois,Cook County,Census Tract 7303,17031730300
Illinois,Cook County,Census Tract 7304,17031730400
Illinois,Cook County,Census Tract 7305,17031730500
Illinois,Cook County,Census Tract 7306,17031730600
Illinois,Cook County,Census Tract 7307,17031730700
Illinois,Cook County,Census Tract 7501,17031750100
Illinois,Cook County,Census Tract 7505,17031750500
Illinois,Cook County,Census Tract 7506,17031750600
Illinois,Cook County,Census Tract 8044.05,17031804405
Illinois,Cook County,Census Tract 8045.08,17031804508
Illinois,Cook County,Census Tract 8092,17031809200
Illinois,Cook County,Census Tract 8113.02,17031811302
Illinois,Cook County,Census Tract 8133.01,17031813301
Illinois,Cook County,Census Tract 8133.02,17031813302
Illinois,Cook County,Census Tract 8137.01,17031813701
Illinois,Cook County,Census Tract 8139,17031813900
Illinois,Cook County,Census Tract 8142,17031814200
Illinois,Cook County,Census Tract 8143,17031814300
Illinois,Cook County,Census Tract 8169,17031816900
Illinois,Cook County,Census Tract 8170,17031817000
Illinois,Cook County,Census Tract 8171.01,17031817101
Illinois,Cook County,Census Tract 8171.02,17031817102
Illinois,Cook County,Census Tract 8172,17031817200
Illinois,Cook County,Census Tract 8173,17031817300
Illinois,Cook County,Census Tract 8175,17031817500
Illinois,Cook County,Census Tract 8176,17031817600
Illinois,Cook County,Census Tract 8177,17031817700
Illinois,Cook County,Census Tract 8179,17031817900
Illinois,Cook County,Census Tract 8180,17031818000
Illinois,Cook County,Census Tract 8204,17031820400
Illinois,Cook County,Census Tract 8206.05,17031820605
Illinois,Cook County,Census Tract 8212,17031821200
Illinois,Cook County,Census Tract 8213,17031821300
Illinois,Cook County,Census Tract 8214.01,17031821401
Illinois,Cook County,Census Tract 8214.02,17031821402
Illinois,Cook County,Census Tract 8215,17031821500
Illinois,Cook County,Census Tract 8236.03,17031823603
Illinois,Cook County,Census Tract 8243,17031824300
Illinois,Cook County,Census Tract 8248,17031824800
Illinois,Cook County,Census Tract 8249,17031824900
Illinois,Cook County,Census Tract 8255.01,17031825501
Illinois,Cook County,Census Tract 8255.04,17031825504
Illinois,Cook County,Census Tract 8255.05,17031825505
Illinois,Cook County,Census Tract 8256,17031825600
Illinois,Cook County,Census Tract 8257,17031825700
Illinois,Cook County,Census Tract 8258.01,17031825801
Illinois,Cook County,Census Tract 8258.02,17031825802
Illinois,Cook County,Census Tract 8258.03,17031825803
Illinois,Cook County,Census Tract 8259,17031825900
Illinois,Cook County,Census Tract 8260,17031826000
Illinois,Cook County,Census Tract 8261,17031826100
Illinois,Cook County,Census Tract 8262.01,17031826201
Illinois,Cook County,Census Tract 8262.02,17031826202
Illinois,Cook County,Census Tract 8263.01,17031826301
Illinois,Cook County,Census Tract 8263.03,17031826303
Illinois,Cook County,Census Tract 8263.04,17031826304
Illinois,Cook County,Census Tract 8264.01,17031826401
Illinois,Cook County,Census Tract 8264.02,17031826402
Illinois,Cook County,Census Tract 8265,17031826500
Illinois,Cook County,Census Tract 8266,17031826600
Illinois,Cook County,Census Tract 8267,17031826700
Illinois,Cook County,Census Tract 8268,17031826800
Illinois,Cook County,Census Tract 8269.01,17031826901
Illinois,Cook County,Census Tract 8269.02,17031826902
Illinois,Cook County,Census Tract 8270,17031827000
Illinois,Cook County,Census Tract 8271,17031827100
Illinois,Cook County,Census Tract 8272,17031827200
Illinois,Cook County,Census Tract 8273,17031827300
Illinois,Cook County,Census Tract 8274,17031827400
Illinois,Cook County,Census Tract 8275,17031827500
Illinois,Cook County,Census Tract 8276,17031827600
Illinois,Cook County,Census Tract 8277,17031827700
Illinois,Cook County,Census Tract 8278.01,17031827801
Illinois,Cook County,Census Tract 8278.05,17031827805
Illinois,Cook County,Census Tract 8279.01,17031827901
Illinois,Cook County,Census Tract 8279.02,17031827902
Illinois,Cook County,Census Tract 8280,17031828000
Illinois,Cook County,Census Tract 8281,17031828100
Illinois,Cook County,Census Tract 8285.03,17031828503
Illinois,Cook County,Census Tract 8285.04,17031828504
Illinois,Cook County,Census Tract 8285.06,17031828506
Illinois,Cook County,Census Tract 8289,17031828900
Illinois,Cook County,Census Tract 8290,17031829000
Illinois,Cook County,Census Tract 8291,17031829100
Illinois,Cook County,Census Tract 8292,17031829200
Illinois,Cook County,Census Tract 8293.01,17031829301
Illinois,Cook County,Census Tract 8293.02,17031829302
Illinois,Cook County,Census Tract 8294.01,17031829401
Illinois,Cook County,Census Tract 8294.02,17031829402
Illinois,Cook County,Census Tract 8295,17031829500
Illinois,Cook County,Census Tract 8297,17031829700
Illinois,Cook County,Census Tract 8299.02,17031829902
Illinois,Cook County,Census Tract 8300.03,17031830003
Illinois,Cook County,Census Tract 8301,17031830100
Illinois,Cook County,Census Tract 8302.01,17031830201
Illinois,Cook County,Census Tract 8302.02,17031830202
Illinois,Cook County,Census Tract 8303,17031830300
Illinois,Cook County,Census Tract 8305,17031830500
Illinois,Cook County,Census Tract 8306,17031830600
Illinois,Cook County,Census Tract 8307,17031830700
Illinois,Cook County,Census Tract 8312,17031831200
Illinois,Cook County,Census Tract 8313,17031831300
Illinois,Cook County,Census Tract 8314,17031831400
Illinois,Cook County,Census Tract 8339,17031833900
Illinois,Cook County,Census Tract 8340,17031834000
Illinois,Cook County,Census Tract 8342,17031834200
Illinois,Cook County,Census Tract 8343,17031834300
Illinois,Cook County,Census Tract 8344,17031834400
Illinois,Cook County,Census Tract 8345,17031834500
Illinois,Cook County,Census Tract 8346,17031834600
Illinois,Cook County,Census Tract 8347,17031834700
Illinois,Cook County,Census Tract 8348,17031834800
Illinois,Cook County,Census Tract 8349,17031834900
Illinois,Cook County,Census Tract 8350,17031835000
Illinois,Cook County,Census Tract 8351,17031835100
Illinois,Cook County,Census Tract 8355,17031835500
Illinois,Cook County,Census Tract 8356,17031835600
Illinois,Cook County,Census Tract 8358,17031835800
Illinois,Cook County,Census Tract 8359,17031835900
Illinois,Cook County,Census Tract 8360,17031836000
Illinois,Cook County,Census Tract 8361,17031836100
Illinois,Cook County,Census Tract 8364,17031836400
Illinois,Cook County,Census Tract 8365,17031836500
Illinois,Cook County,Census Tract 8366,17031836600
Illinois,Cook County,Census Tract 8367,17031836700
Illinois,Cook County,Census Tract 8368,17031836800
Illinois,Cook County,Census Tract 8369,17031836900
Illinois,Cook County,Census Tract 8370,17031837000
Illinois,Cook County,Census Tract 8371,17031837100
Illinois,Cook County,Census Tract 8373,17031837300
Illinois,Cook County,Census Tract 8374,17031837400
Illinois,Cook County,Census Tract 8378,17031837800
Illinois,Cook County,Census Tract 8380,17031838000
Illinois,Cook County,Census Tract 8381,17031838100
Illinois,Cook County,Census Tract 8383,17031838300
Illinois,Cook County,Census Tract 8386,17031838600
