state,r3_funding_region,county,r3_zone_id,census_tract_name,census_tract_geoid,service_delivery_minimum_funding_amount,service_delivery_maximum_funding_amount,planning_grant_minimum_funding_amount,planning_grant_maximum_funding_amount,high_need_area
Illinois,Central,Sangamon County,704,Census Tract 28.01,17167002801,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",No
Illinois,Northwest Central,Knox County,621,Census Tract 9,17095000900,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",No
Illinois,Northwest Central,Knox County,623,Census Tract 11,17095001100,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",No
Illinois,Central,Logan County,664,Census Tract 9532,17107953200,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",No
Illinois,Central,Logan County,665,Census Tract 9533,17107953300,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",No
Illinois,Northwest Central,Knox County,620,Census Tract 7,17095000700,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",No
Illinois,Central,Sangamon County,684,Census Tract 2.02,17167000202,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",No
Illinois,Central,Sangamon County,685,Census Tract 3,17167000300,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",No
Illinois,Central,Sangamon County,686,Census Tract 4,17167000400,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",No
Illinois,Central,Sangamon County,701,Census Tract 25,17167002500,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",No
Illinois,Central,Sangamon County,683,Census Tract 1,17167000100,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",No
Illinois,Central,Sangamon County,700,Census Tract 24,17167002400,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",Yes
Illinois,Southern,Jackson County,758,Census Tract 112,17077011200,"$20,000 ","$270,124 ","$20,000 ","$30,014 ",No
Illinois,Southern,Jackson County,756,Census Tract 107,17077010700,"$20,000 ","$270,124 ","$20,000 ","$30,014 ",No
Illinois,Northwest Central,Fulton County,619,Census Tract 9534,17057953400,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",No
Illinois,Central,Sangamon County,693,Census Tract 13,17167001300,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",Yes
Illinois,Central,Sangamon County,694,Census Tract 15,17167001500,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",Yes
Illinois,Central,Sangamon County,696,Census Tract 17,17167001700,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",Yes
Illinois,South Central,Marion County,731,Census Tract 9526,17121952600,"$25,000 ","$830,620 ","$25,000 ","$92,291 ",Yes
Illinois,South Central,Marion County,732,Census Tract 9527,17121952700,"$25,000 ","$830,620 ","$25,000 ","$92,291 ",No
Illinois,South Central,Marion County,730,Census Tract 9518,17121951800,"$25,000 ","$830,620 ","$25,000 ","$92,291 ",Yes
Illinois,Northwest Central,Knox County,622,Census Tract 10,17095001000,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",No
Illinois,Central,Sangamon County,695,Census Tract 16,17167001600,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",Yes
Illinois,Central,Sangamon County,703,Census Tract 27,17167002700,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",No
Illinois,Cook - Chicago Northern,Cook County,275,Census Tract 2210,17031221000,"$25,000 ","$809,000 ","$25,000 ","$89,889 ",No
Illinois,Cook - Chicago Western,Cook County,298,Census Tract 2411,17031241100,"$25,000 ","$1,852,442 ","$25,000 ","$205,827 ",No
Illinois,Northwest,Rock Island County,606,Census Tract 226,17161022600,"$20,000 ","$245,577 ","$20,000 ","$27,286 ",Yes
Illinois,Cook - Chicago Western,Cook County,300,Census Tract 2502,17031250200,"$25,000 ","$1,852,442 ","$25,000 ","$205,827 ",Yes
Illinois,Cook - Chicago Western,Cook County,301,Census Tract 2503,17031250300,"$25,000 ","$1,852,442 ","$25,000 ","$205,827 ",Yes
Illinois,Cook - Chicago Western,Cook County,302,Census Tract 2504,17031250400,"$25,000 ","$1,852,442 ","$25,000 ","$205,827 ",Yes
Illinois,Northwest Central,Adams County,615,Census Tract 5,17001000500,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",No
Illinois,Cook - Chicago Northern,Cook County,258,Census Tract 804,17031080400,"$25,000 ","$809,000 ","$25,000 ","$89,889 ",Yes
Illinois,Cook - Chicago Western,Cook County,303,Census Tract 2506,17031250600,"$25,000 ","$1,852,442 ","$25,000 ","$205,827 ",No
Illinois,Cook - Chicago Western,Cook County,304,Census Tract 2507,17031250700,"$25,000 ","$1,852,442 ","$25,000 ","$205,827 ",No
Illinois,Cook - Chicago Western,Cook County,305,Census Tract 2508,17031250800,"$25,000 ","$1,852,442 ","$25,000 ","$205,827 ",Yes
Illinois,Cook - Chicago Western,Cook County,306,Census Tract 2510,17031251000,"$25,000 ","$1,852,442 ","$25,000 ","$205,827 ",Yes
Illinois,Cook - Chicago Western,Cook County,307,Census Tract 2511,17031251100,"$25,000 ","$1,852,442 ","$25,000 ","$205,827 ",Yes
Illinois,Cook - Chicago Western,Cook County,308,Census Tract 2512,17031251200,"$25,000 ","$1,852,442 ","$25,000 ","$205,827 ",Yes
Illinois,Cook - Chicago Western,Cook County,309,Census Tract 2513,17031251300,"$25,000 ","$1,852,442 ","$25,000 ","$205,827 ",Yes
Illinois,Northwest Central,Adams County,616,Census Tract 7,17001000700,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",No
Illinois,Cook - Suburban,Cook County,415,Census Tract 8212,17031821200,"$25,000 ","$2,166,010 ","$25,000 ","$240,668 ",No
Illinois,Cook - Chicago Southern,Cook County,163,Census Tract 6720,17031672000,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",No
Illinois,Northwest Central,Adams County,617,Census Tract 8,17001000800,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",Yes
Illinois,Cook - Chicago Southern,Cook County,194,Census Tract 7109,17031710900,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",Yes
Illinois,Cook - Chicago Southern,Cook County,195,Census Tract 7110,17031711000,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",Yes
Illinois,Cook - Chicago Southern,Cook County,196,Census Tract 7111,17031711100,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",Yes
Illinois,Cook - Chicago Southern,Cook County,197,Census Tract 7112,17031711200,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",Yes
Illinois,Cook - Chicago Southern,Cook County,200,Census Tract 7115,17031711500,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",Yes
Illinois,Cook - Chicago Southern,Cook County,198,Census Tract 7113,17031711300,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",No
Illinois,Cook - Chicago Southern,Cook County,199,Census Tract 7114,17031711400,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",Yes
